text-filter,pos_tags,affordance_y,words,stemmed_words,stem_no_stop,cluster,pos_list,tag_cluster
It takes nice photos and having microsoft office products available is nice,"['PRP', 'VBZ', 'JJ', 'NNS', 'CC', 'VBG', 'JJ', 'NN', 'NNS', 'JJ', 'VBZ', 'JJ']","camera quality","['It', 'takes', 'nice', 'photos', 'and', 'having', 'microsoft', 'office', 'products', 'available', 'is', 'nice']","['It', 'take', 'nice', 'photo', 'and', 'have', 'microsoft', 'offic', 'product', 'avail', 'is', 'nice']","['It', 'take', 'nice', 'photo', 'microsoft', 'offic', 'product', 'avail', 'nice']",2,PRP VBZ JJ NNS CC VBG JJ NN NNS JJ VBZ JJ,0
 having microsoft office products available is nice.,"['VBG', 'JJ', 'NN', 'NNS', 'JJ', 'VBZ', 'JJ', '.']",apps,"['having', 'microsoft', 'office', 'products', 'available', 'is', 'nice', '.']","['have', 'microsoft', 'offic', 'product', 'avail', 'is', 'nice', '.']","['microsoft', 'offic', 'product', 'avail', 'nice', '.']",2,VBG JJ NN NNS JJ VBZ JJ .,0
HDMI out: one of my DVD encoded documentary was 1.7 Gb; I thought it would not play but it was smooth...perfect,"['VBN', 'RP', ':', 'CD', 'IN', 'PRP$', 'NNP', 'VBD', 'NN', 'VBD', 'CD', 'NNP', ':', 'PRP', 'VBD', 'PRP', 'MD', 'RB', 'VB', 'CC', 'PRP', 'VBD', 'JJ', ':', 'NN']",customize-ability,"['HDMI', 'out', ':', 'one', 'of', 'my', 'DVD', 'encoded', 'documentary', 'was', '1.7', 'Gb', ';', 'I', 'thought', 'it', 'would', 'not', 'play', 'but', 'it', 'was', 'smooth', '...', 'perfect']","['hdmi', 'out', ':', 'one', 'of', 'my', 'dvd', 'encod', 'documentari', 'wa', '1.7', 'Gb', ';', 'I', 'thought', 'it', 'would', 'not', 'play', 'but', 'it', 'wa', 'smooth', '...', 'perfect']","['hdmi', ':', 'one', 'dvd', 'encod', 'documentari', 'wa', '1.7', 'Gb', ';', 'I', 'thought', 'would', 'play', 'wa', 'smooth', '...', 'perfect']",2,VBN RP : CD IN PRP$ NNP VBD NN VBD CD NNP : PRP VBD PRP MD RB VB CC PRP VBD JJ : NN,1
I wish the battery was removable,"['PRP', 'VBP', 'DT', 'NN', 'VBD', 'JJ']",hardware flexibility #missing,"['I', 'wish', 'the', 'battery', 'was', 'removable']","['I', 'wish', 'the', 'batteri', 'wa', 'remov']","['I', 'wish', 'batteri', 'wa', 'remov']",2,PRP VBP DT NN VBD JJ,2
 do like one app that can morph and do funny things to the photo while taking it.,"['VBP', 'IN', 'CD', 'NN', 'WDT', 'MD', 'VB', 'CC', 'VB', 'JJ', 'NNS', 'TO', 'DT', 'NN', 'IN', 'VBG', 'PRP', '.']",apps abundance,"['do', 'like', 'one', 'app', 'that', 'can', 'morph', 'and', 'do', 'funny', 'things', 'to', 'the', 'photo', 'while', 'taking', 'it', '.']","['do', 'like', 'one', 'app', 'that', 'can', 'morph', 'and', 'do', 'funni', 'thing', 'to', 'the', 'photo', 'while', 'take', 'it', '.']","['like', 'one', 'app', 'morph', 'funni', 'thing', 'photo', 'take', '.']",2,VBP IN CD NN WDT MD VB CC VB JJ NNS TO DT NN IN VBG PRP .,1
"Another need is a button to reopen pages you are surfing rather than having to try & tap them open which can be frustrating","['DT', 'NN', 'VBZ', 'DT', 'NN', 'TO', 'VB', 'NNS', 'PRP', 'VBP', 'VBG', 'RB', 'IN', 'VBG', 'TO', 'VB', 'CC', 'VB', 'PRP', 'JJ', 'WDT', 'MD', 'VB', 'VBG']","user friendly","['Another', 'need', 'is', 'a', 'button', 'to', 'reopen', 'pages', 'you', 'are', 'surfing', 'rather', 'than', 'having', 'to', 'try', '&', 'tap', 'them', 'open', 'which', 'can', 'be', 'frustrating']","['anoth', 'need', 'is', 'a', 'button', 'to', 'reopen', 'page', 'you', 'are', 'surf', 'rather', 'than', 'have', 'to', 'tri', '&', 'tap', 'them', 'open', 'which', 'can', 'be', 'frustrat']","['anoth', 'need', 'button', 'reopen', 'page', 'surf', 'rather', 'tri', '&', 'tap', 'open', 'frustrat']",2,DT NN VBZ DT NN TO VB NNS PRP VBP VBG RB IN VBG TO VB CC VB PRP JJ WDT MD VB VBG,1
"One great benefit is that you can see Gmail in HTML mode","['CD', 'JJ', 'NN', 'VBZ', 'IN', 'PRP', 'MD', 'VB', 'NNP', 'IN', 'NNP', 'NN']","access","['One', 'great', 'benefit', 'is', 'that', 'you', 'can', 'see', 'Gmail', 'in', 'HTML', 'mode']","['one', 'great', 'benefit', 'is', 'that', 'you', 'can', 'see', 'gmail', 'in', 'html', 'mode']","['one', 'great', 'benefit', 'see', 'gmail', 'html', 'mode']",2,CD JJ NN VBZ IN PRP MD VB NNP IN NNP NN,3
I realized that camera is not stable on the back.,"['PRP', 'VBD', 'IN', 'NN', 'VBZ', 'RB', 'JJ', 'IN', 'DT', 'NN', '.']",hardware effectiveness #missing,"['I', 'realized', 'that', 'camera', 'is', 'not', 'stable', 'on', 'the', 'back', '.']","['I', 'realiz', 'that', 'camera', 'is', 'not', 'stabl', 'on', 'the', 'back', '.']","['I', 'realiz', 'camera', 'stabl', 'back', '.']",2,PRP VBD IN NN VBZ RB JJ IN DT NN .,2
,[],hardware effectiveness #missing,[],[],[],2,,3
 need not connect my laptop to the TV and watch a movie if I want to,"['MD', 'RB', 'VB', 'PRP$', 'NN', 'TO', 'DT', 'NN', 'CC', 'VB', 'DT', 'NN', 'IN', 'PRP', 'VBP', 'TO']",connectivity,"['need', 'not', 'connect', 'my', 'laptop', 'to', 'the', 'TV', 'and', 'watch', 'a', 'movie', 'if', 'I', 'want', 'to']","['need', 'not', 'connect', 'my', 'laptop', 'to', 'the', 'TV', 'and', 'watch', 'a', 'movi', 'if', 'I', 'want', 'to']","['need', 'connect', 'laptop', 'TV', 'watch', 'movi', 'I', 'want']",2,MD RB VB PRP$ NN TO DT NN CC VB DT NN IN PRP VBP TO,2
Corning Gorilla Glass 2 also adds to this durability,"['VBG', 'NNP', 'NNP', 'CD', 'RB', 'VBZ', 'TO', 'DT', 'NN']",screen durability,"['Corning', 'Gorilla', 'Glass', '2', 'also', 'adds', 'to', 'this', 'durability']","['corn', 'gorilla', 'glass', '2', 'also', 'add', 'to', 'thi', 'durabl']","['corn', 'gorilla', 'glass', '2', 'also', 'add', 'thi', 'durabl']",2,VBG NNP NNP CD RB VBZ TO DT NN,3
 you can connect this phone directly to a TV via a built-in HDMI port to watch videos/photos/playgames,"['PRP', 'MD', 'VB', 'DT', 'NN', 'RB', 'TO', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NNP', 'NN', 'TO', 'VB', 'NNS']",connectivity,"['you', 'can', 'connect', 'this', 'phone', 'directly', 'to', 'a', 'TV', 'via', 'a', 'built-in', 'HDMI', 'port', 'to', 'watch', 'videos/photos/playgames']","['you', 'can', 'connect', 'thi', 'phone', 'directli', 'to', 'a', 'TV', 'via', 'a', 'built-in', 'hdmi', 'port', 'to', 'watch', 'videos/photos/playgam']","['connect', 'thi', 'phone', 'directli', 'TV', 'via', 'built-in', 'hdmi', 'port', 'watch', 'videos/photos/playgam']",0,PRP MD VB DT NN RB TO DT NN IN DT JJ NNP NN TO VB NNS,2
"""Own Voice"" which is a program where you record your voice as the one that gives GPS instructions","['``', 'JJ', 'NN', ""''"", 'WDT', 'VBZ', 'DT', 'NN', 'WRB', 'PRP', 'VB', 'PRP$', 'NN', 'IN', 'DT', 'NN', 'WDT', 'VBZ', 'NNP', 'NNS']",customize-ability,"['``', 'Own', 'Voice', ""''"", 'which', 'is', 'a', 'program', 'where', 'you', 'record', 'your', 'voice', 'as', 'the', 'one', 'that', 'gives', 'GPS', 'instructions']","['``', 'own', 'voic', ""''"", 'which', 'is', 'a', 'program', 'where', 'you', 'record', 'your', 'voic', 'as', 'the', 'one', 'that', 'give', 'gp', 'instruct']","['``', 'voic', ""''"", 'program', 'record', 'voic', 'one', 'give', 'gp', 'instruct']",2,`` JJ NN '' WDT VBZ DT NN WRB PRP VB PRP$ NN IN DT NN WDT VBZ NNP NNS,2
"easy to transfer data, music, pics with Bluetooth","['JJ', 'TO', 'VB', 'NNS', ',', 'NN', ',', 'NNS', 'IN', 'NNP']","connectivity ","['easy', 'to', 'transfer', 'data', ',', 'music', ',', 'pics', 'with', 'Bluetooth']","['easi', 'to', 'transfer', 'data', ',', 'music', ',', 'pic', 'with', 'bluetooth']","['easi', 'transfer', 'data', ',', 'music', ',', 'pic', 'bluetooth']",2,"JJ TO VB NNS , NN , NNS IN NNP",3
I used to play lots of HD game on the phone (since it has capative touchscreen),"['PRP', 'VBD', 'TO', 'VB', 'NNS', 'IN', 'NNP', 'NN', 'IN', 'DT', 'NN', '(', 'IN', 'PRP', 'VBZ', 'JJ', 'NN', ')']",screen quality #missing,"['I', 'used', 'to', 'play', 'lots', 'of', 'HD', 'game', 'on', 'the', 'phone', '(', 'since', 'it', 'has', 'capative', 'touchscreen', ')']","['I', 'use', 'to', 'play', 'lot', 'of', 'HD', 'game', 'on', 'the', 'phone', '(', 'sinc', 'it', 'ha', 'cap', 'touchscreen', ')']","['I', 'use', 'play', 'lot', 'HD', 'game', 'phone', '(', 'sinc', 'ha', 'cap', 'touchscreen', ')']",2,PRP VBD TO VB NNS IN NNP NN IN DT NN ( IN PRP VBZ JJ NN ),1
 if only the software worked so I could use it,"['IN', 'RB', 'DT', 'NN', 'VBD', 'RB', 'PRP', 'MD', 'VB', 'PRP']",software #missing,"['if', 'only', 'the', 'software', 'worked', 'so', 'I', 'could', 'use', 'it']","['if', 'onli', 'the', 'softwar', 'work', 'so', 'I', 'could', 'use', 'it']","['onli', 'softwar', 'work', 'I', 'could', 'use']",2,IN RB DT NN VBD RB PRP MD VB PRP,1
Can add several email addresses to sync in real-time,"['MD', 'VB', 'JJ', 'JJ', 'NNS', 'TO', 'VB', 'IN', 'NN']","real time connectivity","['Can', 'add', 'several', 'email', 'addresses', 'to', 'sync', 'in', 'real-time']","['can', 'add', 'sever', 'email', 'address', 'to', 'sync', 'in', 'real-tim']","['add', 'sever', 'email', 'address', 'sync', 'real-tim']",2,MD VB JJ JJ NNS TO VB IN NN,1
Touch screen Chess without a Styulis pen is very difficult.,"['JJ', 'NN', 'NNP', 'IN', 'DT', 'NNP', 'NN', 'VBZ', 'RB', 'JJ', '.']",touch screen efficiency,"['Touch', 'screen', 'Chess', 'without', 'a', 'Styulis', 'pen', 'is', 'very', 'difficult', '.']","['touch', 'screen', 'chess', 'without', 'a', 'styuli', 'pen', 'is', 'veri', 'difficult', '.']","['touch', 'screen', 'chess', 'without', 'styuli', 'pen', 'veri', 'difficult', '.']",1,JJ NN NNP IN DT NNP NN VBZ RB JJ .,0
"Can not make Skype video call, the front camera is only for display.","['MD', 'RB', 'VB', 'NNP', 'NN', 'NN', ',', 'DT', 'NN', 'NN', 'VBZ', 'RB', 'IN', 'NN', '.']","connectivity #missing","['Can', 'not', 'make', 'Skype', 'video', 'call', ',', 'the', 'front', 'camera', 'is', 'only', 'for', 'display', '.']","['can', 'not', 'make', 'skype', 'video', 'call', ',', 'the', 'front', 'camera', 'is', 'onli', 'for', 'display', '.']","['make', 'skype', 'video', 'call', ',', 'front', 'camera', 'onli', 'display', '.']",2,"MD RB VB NNP NN NN , DT NN NN VBZ RB IN NN .",2
you can click the camera button on the side and go immediately to the take a picture mode,"['PRP', 'MD', 'VB', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', 'CC', 'VB', 'RB', 'TO', 'DT', 'VB', 'DT', 'NN', 'NN']",suer interface,"['you', 'can', 'click', 'the', 'camera', 'button', 'on', 'the', 'side', 'and', 'go', 'immediately', 'to', 'the', 'take', 'a', 'picture', 'mode']","['you', 'can', 'click', 'the', 'camera', 'button', 'on', 'the', 'side', 'and', 'go', 'immedi', 'to', 'the', 'take', 'a', 'pictur', 'mode']","['click', 'camera', 'button', 'side', 'go', 'immedi', 'take', 'pictur', 'mode']",2,PRP MD VB DT NN NN IN DT NN CC VB RB TO DT VB DT NN NN,2
Texting is now much simpler as is email and messaging,"['VBG', 'VBZ', 'RB', 'JJ', 'NN', 'IN', 'VBZ', 'JJ', 'CC', 'VBG']",user friendly,"['Texting', 'is', 'now', 'much', 'simpler', 'as', 'is', 'email', 'and', 'messaging']","['text', 'is', 'now', 'much', 'simpler', 'as', 'is', 'email', 'and', 'messag']","['text', 'much', 'simpler', 'email', 'messag']",2,VBG VBZ RB JJ NN IN VBZ JJ CC VBG,0
i can not transfer the music onto this phone,"['NN', 'MD', 'RB', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN']",connectivity #missing,"['i', 'can', 'not', 'transfer', 'the', 'music', 'onto', 'this', 'phone']","['i', 'can', 'not', 'transfer', 'the', 'music', 'onto', 'thi', 'phone']","['transfer', 'music', 'onto', 'thi', 'phone']",0,NN MD RB VB DT NN IN DT NN,2
"It take alot of persistence to take pictures of a fast-moving dog.","['PRP', 'VB', 'NN', 'IN', 'NN', 'TO', 'VB', 'NNS', 'IN', 'DT', 'JJ', 'NN', '.']","camera quality","['It', 'take', 'alot', 'of', 'persistence', 'to', 'take', 'pictures', 'of', 'a', 'fast-moving', 'dog', '.']","['It', 'take', 'alot', 'of', 'persist', 'to', 'take', 'pictur', 'of', 'a', 'fast-mov', 'dog', '.']","['It', 'take', 'alot', 'persist', 'take', 'pictur', 'fast-mov', 'dog', '.']",2,PRP VB NN IN NN TO VB NNS IN DT JJ NN .,1
When I plug this thing into my computer via usb - guess what happens.....I CAN VIEW MY FILES AND MUSIC.,"['WRB', 'PRP', 'VBP', 'DT', 'NN', 'IN', 'PRP$', 'NN', 'IN', 'JJ', ':', 'NN', 'WP', 'VBZ', ':', 'NN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', '.']",connectivity,"['When', 'I', 'plug', 'this', 'thing', 'into', 'my', 'computer', 'via', 'usb', '-', 'guess', 'what', 'happens', '...', '..I', 'CAN', 'VIEW', 'MY', 'FILES', 'AND', 'MUSIC', '.']","['when', 'I', 'plug', 'thi', 'thing', 'into', 'my', 'comput', 'via', 'usb', '-', 'guess', 'what', 'happen', '...', '..i', 'can', 'view', 'MY', 'file', 'and', 'music', '.']","['I', 'plug', 'thi', 'thing', 'comput', 'via', 'usb', '-', 'guess', 'happen', '...', '..i', 'view', 'MY', 'file', 'music', '.']",2,WRB PRP VBP DT NN IN PRP$ NN IN JJ : NN WP VBZ : NN NNP NNP NNP NNP NNP NNP .,3
Try reading the news or doing anything other than basic SMSing when the screen keeps turning off unless you keep hitting keys!,"['VB', 'VBG', 'DT', 'NN', 'CC', 'VBG', 'NN', 'JJ', 'IN', 'JJ', 'VBG', 'WRB', 'DT', 'NN', 'VBZ', 'VBG', 'RP', 'IN', 'PRP', 'VBP', 'VBG', 'NN', '.']",user interface #missing,"['Try', 'reading', 'the', 'news', 'or', 'doing', 'anything', 'other', 'than', 'basic', 'SMSing', 'when', 'the', 'screen', 'keeps', 'turning', 'off', 'unless', 'you', 'keep', 'hitting', 'keys', '!']","['tri', 'read', 'the', 'news', 'or', 'do', 'anyth', 'other', 'than', 'basic', 'smsing', 'when', 'the', 'screen', 'keep', 'turn', 'off', 'unless', 'you', 'keep', 'hit', 'key', '!']","['tri', 'read', 'news', 'anyth', 'basic', 'smsing', 'screen', 'keep', 'turn', 'unless', 'keep', 'hit', 'key', '!']",1,VB VBG DT NN CC VBG NN JJ IN JJ VBG WRB DT NN VBZ VBG RP IN PRP VBP VBG NN .,2
Emails and texting are almost impossible on this phone.,"['NNS', 'CC', 'VBG', 'VBP', 'RB', 'JJ', 'IN', 'DT', 'NN', '.']",connectivity #missing,"['Emails', 'and', 'texting', 'are', 'almost', 'impossible', 'on', 'this', 'phone', '.']","['email', 'and', 'text', 'are', 'almost', 'imposs', 'on', 'thi', 'phone', '.']","['email', 'text', 'almost', 'imposs', 'thi', 'phone', '.']",0,NNS CC VBG VBP RB JJ IN DT NN .,2
The sound is great and this phone has completely replaced my iPod,"['DT', 'NN', 'VBZ', 'JJ', 'CC', 'DT', 'NN', 'VBZ', 'RB', 'VBN', 'PRP$', 'NN']",multi-use,"['The', 'sound', 'is', 'great', 'and', 'this', 'phone', 'has', 'completely', 'replaced', 'my', 'iPod']","['the', 'sound', 'is', 'great', 'and', 'thi', 'phone', 'ha', 'complet', 'replac', 'my', 'ipod']","['sound', 'great', 'thi', 'phone', 'ha', 'complet', 'replac', 'ipod']",0,DT NN VBZ JJ CC DT NN VBZ RB VBN PRP$ NN,2
"Nevertheless its really easy to take a very good quick shot of something, and did I mention how real the coloring is?","['RB', 'PRP$', 'RB', 'JJ', 'TO', 'VB', 'DT', 'RB', 'JJ', 'NN', 'NN', 'IN', 'NN', ',', 'CC', 'VBD', 'PRP', 'VB', 'WRB', 'JJ', 'DT', 'NN', 'VBZ', '.']",camera quality ,"['Nevertheless', 'its', 'really', 'easy', 'to', 'take', 'a', 'very', 'good', 'quick', 'shot', 'of', 'something', ',', 'and', 'did', 'I', 'mention', 'how', 'real', 'the', 'coloring', 'is', '?']","['nevertheless', 'it', 'realli', 'easi', 'to', 'take', 'a', 'veri', 'good', 'quick', 'shot', 'of', 'someth', ',', 'and', 'did', 'I', 'mention', 'how', 'real', 'the', 'color', 'is', '?']","['nevertheless', 'realli', 'easi', 'take', 'veri', 'good', 'quick', 'shot', 'someth', ',', 'I', 'mention', 'real', 'color', '?']",2,"RB PRP$ RB JJ TO VB DT RB JJ NN NN IN NN , CC VBD PRP VB WRB JJ DT NN VBZ .",1
 has an FM radio built in -- not an Internet one,"['VBZ', 'DT', 'NNP', 'NN', 'VBN', 'IN', ':', 'RB', 'DT', 'NNP', 'NN']",music feature,"['has', 'an', 'FM', 'radio', 'built', 'in', '--', 'not', 'an', 'Internet', 'one']","['ha', 'an', 'FM', 'radio', 'built', 'in', '--', 'not', 'an', 'internet', 'one']","['ha', 'FM', 'radio', 'built', '--', 'internet', 'one']",3,VBZ DT NNP NN VBN IN : RB DT NNP NN,3
"If you keep the phone down on a desk, you will not be able to hear any sound, as the speaker is blocked by the desk.","['IN', 'PRP', 'VBP', 'DT', 'NN', 'RP', 'IN', 'DT', 'NN', ',', 'PRP', 'MD', 'RB', 'VB', 'JJ', 'TO', 'VB', 'DT', 'NN', ',', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'IN', 'DT', 'NN', '.']",design intelligence #missing,"['If', 'you', 'keep', 'the', 'phone', 'down', 'on', 'a', 'desk', ',', 'you', 'will', 'not', 'be', 'able', 'to', 'hear', 'any', 'sound', ',', 'as', 'the', 'speaker', 'is', 'blocked', 'by', 'the', 'desk', '.']","['If', 'you', 'keep', 'the', 'phone', 'down', 'on', 'a', 'desk', ',', 'you', 'will', 'not', 'be', 'abl', 'to', 'hear', 'ani', 'sound', ',', 'as', 'the', 'speaker', 'is', 'block', 'by', 'the', 'desk', '.']","['If', 'keep', 'phone', 'desk', ',', 'abl', 'hear', 'ani', 'sound', ',', 'speaker', 'block', 'desk', '.']",0,"IN PRP VBP DT NN RP IN DT NN , PRP MD RB VB JJ TO VB DT NN , IN DT NN VBZ VBN IN DT NN .",2
"I like how you can set any song you have as a ringtone, and you can do this through the music player too ","['PRP', 'VBP', 'WRB', 'PRP', 'MD', 'VB', 'DT', 'NN', 'PRP', 'VBP', 'IN', 'DT', 'NN', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'IN', 'DT', 'NN', 'NN', 'RB']",customize-ability,"['I', 'like', 'how', 'you', 'can', 'set', 'any', 'song', 'you', 'have', 'as', 'a', 'ringtone', ',', 'and', 'you', 'can', 'do', 'this', 'through', 'the', 'music', 'player', 'too']","['I', 'like', 'how', 'you', 'can', 'set', 'ani', 'song', 'you', 'have', 'as', 'a', 'rington', ',', 'and', 'you', 'can', 'do', 'thi', 'through', 'the', 'music', 'player', 'too']","['I', 'like', 'set', 'ani', 'song', 'rington', ',', 'thi', 'music', 'player']",2,"PRP VBP WRB PRP MD VB DT NN PRP VBP IN DT NN , CC PRP MD VB DT IN DT NN NN RB",2
"One more thing: both our phones have no obvious Wi-Fi connection choice under ""Settings/Connectivity"" menus.","['CD', 'JJR', 'NN', ':', 'DT', 'PRP$', 'NNS', 'VBP', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'IN', '``', 'NNP', ""''"", 'NN', '.']",user friendly #missing,"['One', 'more', 'thing', ':', 'both', 'our', 'phones', 'have', 'no', 'obvious', 'Wi-Fi', 'connection', 'choice', 'under', '``', 'Settings/Connectivity', ""''"", 'menus', '.']","['one', 'more', 'thing', ':', 'both', 'our', 'phone', 'have', 'no', 'obviou', 'wi-fi', 'connect', 'choic', 'under', '``', 'settings/connect', ""''"", 'menu', '.']","['one', 'thing', ':', 'phone', 'obviou', 'wi-fi', 'connect', 'choic', '``', 'settings/connect', ""''"", 'menu', '.']",0,CD JJR NN : DT PRP$ NNS VBP DT JJ JJ NN NN IN `` NNP '' NN .,0
"So I can hook up a monitor, an old TV, or a new HD tv to my phone.","['IN', 'PRP', 'MD', 'VB', 'RP', 'DT', 'NN', ',', 'DT', 'JJ', 'NN', ',', 'CC', 'DT', 'JJ', 'NNP', 'NN', 'TO', 'PRP$', 'NN', '.']",connectivity,"['So', 'I', 'can', 'hook', 'up', 'a', 'monitor', ',', 'an', 'old', 'TV', ',', 'or', 'a', 'new', 'HD', 'tv', 'to', 'my', 'phone', '.']","['So', 'I', 'can', 'hook', 'up', 'a', 'monitor', ',', 'an', 'old', 'TV', ',', 'or', 'a', 'new', 'HD', 'tv', 'to', 'my', 'phone', '.']","['So', 'I', 'hook', 'monitor', ',', 'old', 'TV', ',', 'new', 'HD', 'tv', 'phone', '.']",0,"IN PRP MD VB RP DT NN , DT JJ NN , CC DT JJ NNP NN TO PRP$ NN .",1
"I like the 3 separate home screens, useful for personal, business etc.","['PRP', 'VBP', 'DT', 'CD', 'JJ', 'NN', 'NNS', ',', 'JJ', 'IN', 'JJ', ',', 'NN', 'NN', '.']",multi-tasking,"['I', 'like', 'the', '3', 'separate', 'home', 'screens', ',', 'useful', 'for', 'personal', ',', 'business', 'etc', '.']","['I', 'like', 'the', '3', 'separ', 'home', 'screen', ',', 'use', 'for', 'person', ',', 'busi', 'etc', '.']","['I', 'like', '3', 'separ', 'home', 'screen', ',', 'use', 'person', ',', 'busi', 'etc', '.']",1,"PRP VBP DT CD JJ NN NNS , JJ IN JJ , NN NN .",0
"Power Saving Mode is nice to cutdown battery dain.","['NN', 'VBG', 'NNP', 'VBZ', 'JJ', 'TO', 'VB', 'NN', 'NN', '.']","battery life","['Power', 'Saving', 'Mode', 'is', 'nice', 'to', 'cutdown', 'battery', 'dain', '.']","['power', 'save', 'mode', 'is', 'nice', 'to', 'cutdown', 'batteri', 'dain', '.']","['power', 'save', 'mode', 'nice', 'cutdown', 'batteri', 'dain', '.']",2,NN VBG NNP VBZ JJ TO VB NN NN .,3
the good thing is the phone does not take long to charge.,"['DT', 'JJ', 'NN', 'VBZ', 'DT', 'NN', 'VBZ', 'RB', 'VB', 'RB', 'TO', 'NN', '.']",fast charge,"['the', 'good', 'thing', 'is', 'the', 'phone', 'does', 'not', 'take', 'long', 'to', 'charge', '.']","['the', 'good', 'thing', 'is', 'the', 'phone', 'doe', 'not', 'take', 'long', 'to', 'charg', '.']","['good', 'thing', 'phone', 'doe', 'take', 'long', 'charg', '.']",0,DT JJ NN VBZ DT NN VBZ RB VB RB TO NN .,2
"When I first got it, I was frustrated by the inability to send pictures directly to a printer.","['WRB', 'PRP', 'RB', 'VBD', 'PRP', ',', 'PRP', 'VBD', 'VBN', 'IN', 'DT', 'NN', 'TO', 'VB', 'NNS', 'RB', 'TO', 'DT', 'NN', '.']",connectivity,"['When', 'I', 'first', 'got', 'it', ',', 'I', 'was', 'frustrated', 'by', 'the', 'inability', 'to', 'send', 'pictures', 'directly', 'to', 'a', 'printer', '.']","['when', 'I', 'first', 'got', 'it', ',', 'I', 'wa', 'frustrat', 'by', 'the', 'inabl', 'to', 'send', 'pictur', 'directli', 'to', 'a', 'printer', '.']","['I', 'first', 'got', ',', 'I', 'wa', 'frustrat', 'inabl', 'send', 'pictur', 'directli', 'printer', '.']",2,"WRB PRP RB VBD PRP , PRP VBD VBN IN DT NN TO VB NNS RB TO DT NN .",1
I have fairly large fingers and the qwerty keyboard is not that hard to maneuver,"['PRP', 'VBP', 'RB', 'JJ', 'NNS', 'CC', 'DT', 'JJ', 'NN', 'VBZ', 'RB', 'RB', 'VBZ', 'TO', 'VB']",user friendly keyboard,"['I', 'have', 'fairly', 'large', 'fingers', 'and', 'the', 'qwerty', 'keyboard', 'is', 'not', 'that', 'hard', 'to', 'maneuver']","['I', 'have', 'fairli', 'larg', 'finger', 'and', 'the', 'qwerti', 'keyboard', 'is', 'not', 'that', 'hard', 'to', 'maneuv']","['I', 'fairli', 'larg', 'finger', 'qwerti', 'keyboard', 'hard', 'maneuv']",2,PRP VBP RB JJ NNS CC DT JJ NN VBZ RB RB VBZ TO VB,0
"Using the build-in FM transmitter, you can transmit to your own car radio","['VBG', 'DT', 'JJ', 'NNP', 'NN', ',', 'PRP', 'MD', 'VB', 'TO', 'PRP$', 'JJ', 'NN', 'NN']",connectivity,"['Using', 'the', 'build-in', 'FM', 'transmitter', ',', 'you', 'can', 'transmit', 'to', 'your', 'own', 'car', 'radio']","['use', 'the', 'build-in', 'FM', 'transmitt', ',', 'you', 'can', 'transmit', 'to', 'your', 'own', 'car', 'radio']","['use', 'build-in', 'FM', 'transmitt', ',', 'transmit', 'car', 'radio']",2,"VBG DT JJ NNP NN , PRP MD VB TO PRP$ JJ NN NN",1
I have better coverage and can make calls in places that are on the edge of service ,"['PRP', 'VBP', 'VBN', 'NN', 'CC', 'MD', 'VB', 'NNS', 'IN', 'NNS', 'WDT', 'VBP', 'IN', 'DT', 'NN', 'IN', 'NN']","signal quality","['I', 'have', 'better', 'coverage', 'and', 'can', 'make', 'calls', 'in', 'places', 'that', 'are', 'on', 'the', 'edge', 'of', 'service']","['I', 'have', 'better', 'coverag', 'and', 'can', 'make', 'call', 'in', 'place', 'that', 'are', 'on', 'the', 'edg', 'of', 'servic']","['I', 'better', 'coverag', 'make', 'call', 'place', 'edg', 'servic']",2,PRP VBP VBN NN CC MD VB NNS IN NNS WDT VBP IN DT NN IN NN,1
Constantly talk to with my friends with the apps above and I only charge it every 36 hours average!,"['RB', 'NN', 'TO', 'IN', 'PRP$', 'NNS', 'IN', 'DT', 'NN', 'IN', 'CC', 'PRP', 'RB', 'VBP', 'PRP', 'DT', 'CD', 'NNS', 'JJ', '.']",battery life ,"['Constantly', 'talk', 'to', 'with', 'my', 'friends', 'with', 'the', 'apps', 'above', 'and', 'I', 'only', 'charge', 'it', 'every', '36', 'hours', 'average', '!']","['constantli', 'talk', 'to', 'with', 'my', 'friend', 'with', 'the', 'app', 'abov', 'and', 'I', 'onli', 'charg', 'it', 'everi', '36', 'hour', 'averag', '!']","['constantli', 'talk', 'friend', 'app', 'abov', 'I', 'onli', 'charg', 'everi', '36', 'hour', 'averag', '!']",2,RB NN TO IN PRP$ NNS IN DT NN IN CC PRP RB VBP PRP DT CD NNS JJ .,1
It really surprised me and how clear and detailed video was.,"['PRP', 'RB', 'VBD', 'PRP', 'CC', 'WRB', 'JJ', 'CC', 'JJ', 'NN', 'VBD', '.']",camera quality,"['It', 'really', 'surprised', 'me', 'and', 'how', 'clear', 'and', 'detailed', 'video', 'was', '.']","['It', 'realli', 'surpris', 'me', 'and', 'how', 'clear', 'and', 'detail', 'video', 'wa', '.']","['It', 'realli', 'surpris', 'clear', 'detail', 'video', 'wa', '.']",2,PRP RB VBD PRP CC WRB JJ CC JJ NN VBD .,0
